"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","注册功能","11","0","注册失败","0"
"0","","0","个人页面","4","0","预设用户信息显示","0"
"0","","0","页面重定向","3","0","页面重定向","0"
"0","","1","个人页面","2","0","图标设置","0"
"0","","0","登录功能","17","0","登录失败","0"
"0","","0","酒店预订功能（参数化）","4","0","输入验证","0"
"0","","0","酒店预订功能（参数化）","2","0","提交验证","0"
"0","","0","页面重定向","3","0","无效方案访问","0"
"0","","0","酒店预订功能（参数化）","2","0","页面初始值显示","0"
"0","","0","酒店预订功能（参数化）","2","0","预订成功","0"
"0","","0","个人页面","1","0","用户删除","0"
"0","","0","注册功能","5","0","用户注册","0"
"0","","0","页面重定向","2","0","高级会员访问控制","0"
"0","","0","页面重定向","1","0","会员访问控制","0"
"0","","0","预订方案","3","0","方案列表","0"
"0","","0","页面重定向","1","0","直接访问控制","0"
"0","","0","登录功能","1","0","登录成功","0"
"0","","0","个人页面","1","0","新用户信息显示","0"
